S. No.,State/ UT,Less than 1 year - Total Acc. - 2014,Less than 1 year - Persons Killed - 2014,Less than 1 year - Persons Injured - 2014,1-2 Years - Total Acc. - 2014,1-2 Years - Persons Killed - 2014,1-2 Years - Persons Injured - 2014,2-4 Years - Total Acc. - 2014,2-4 Years - Persons Killed - 2014,2-4 Years - Persons Injured - 2014,4-6 Years - Total Acc. - 2014,4-6 Years - Persons Killed - 2014,4-6 Years - Persons Injured - 2014,6-8 Years - Total Acc. - 2014,6-8 Years - Persons Killed - 2014,6-8 Years - Persons Injured - 2014,8-10 Years - Total Acc. - 2014,8-10 Years - Persons Killed - 2014,8-10 Years - Persons Injured - 2014,10 Years and above - Total Acc. - 2014,10 Years and above - Persons Killed - 2014,10 Years and above - Persons Injured - 2014,Less than 5 years - Total Accidents - 2016,Less than 5 years - Persons Killed - 2016,Less than 5 years - Persons Injured - 2016,5 - 10 Years - Total Accidents - 2016,5 - 10 Years - Persons Killed - 2016,5 - 10 Years - Persons Injured - 2016,10 - 15 Years - Total Accidents - 2016,10 - 15 Years - Persons Killed - 2016,10 - 15 Years - Persons Injured - 2016,15 Years and above - Total Accidents - 2016,15 Years and above - Persons Killed - 2016,15 Years and above - Persons Injured - 2016,Age not known - Total Accidents - 2016,Age not known - Persons Killed - 2016,Age not known - Persons Injured - 2016
1,Andhra Pradesh,2167,639,2828,3997,1229,4594,4575,1505,5318,4124,1388,4797,2881,908,3986,2250,715,2687,4446,1524,5721,9460,2785,12122,7752,2676,9105,3249,1120,3546,1647,681,1965,2780,1279,3313
2,Arunachal Pradesh,48,33,70,36,22,28,41,21,73,32,20,55,21,13,47,27,10,35,0,0,0,77,43,117,97,52,127,56,35,98,19,19,49,0,0,0
3,Assam,753,243,671,1328,508,1272,1479,516,1332,1277,422,1101,953,341,990,764,218,641,590,274,492,3173,1085,2710,2369,892,1772,1102,337,826,791,258,819,0,0,0
4,Bihar,1121,504,822,1224,619,850,1150,556,839,1264,612,960,1353,707,940,1335,694,820,2109,1221,1409,2272,1291,1571,2179,1236,1476,1674,1014,1204,2097,1360,1400,0,0,0
5,Chhattisgarh,1883,484,1799,2193,642,2073,2252,613,1987,2182,635,2108,2046,592,1937,1687,523,1708,1578,533,1545,5430,1422,5167,4623,1223,4291,2337,725,2231,1190,538,1266,0,0,0
6,Goa,251,14,106,700,47,276,1274,73,455,1024,74,428,459,43,259,312,26,233,209,13,122,1408,102,656,1254,112,664,1357,101,578,259,15,108,26,6,20
7,Gujarat,2529,745,2447,3968,1150,3919,4837,1488,4839,4245,1447,4080,3515,1285,3183,2435,919,2142,2183,921,1883,7602,2825,7239,7398,2796,6259,3596,1280,3426,2138,818,2007,1125,417,1018
8,Haryana,988,535,992,1554,644,1078,1695,741,1480,1852,830,1614,1820,810,1410,1503,534,1178,1264,389,1192,4442,1850,3956,3625,1645,3315,1889,890,1831,1278,639,1429,0,0,0
9,Himachal Pradesh,526,153,809,512,187,983,553,221,929,486,231,958,470,200,879,268,112,454,243,95,564,2864,773,3472,1070,285,1592,307,116,438,159,52,169,217,45,93
10,Jammu & Kashmir,121,25,57,226,37,356,367,87,986,892,96,1256,999,196,1363,1470,216,1789,1786,335,2236,1874,351,2625,2141,393,3040,894,121,1197,592,93,830,0,0,0
11,Jharkhand,717,355,633,846,435,630,816,342,622,656,365,585,654,398,607,648,286,607,864,447,672,1842,1053,1536,1482,959,1036,1007,628,647,601,387,574,0,0,0
12,Karnataka,5433,1114,7186,7318,1742,8956,6606,2172,10950,6755,1803,10370,6795,1425,7994,5010,1012,5643,5796,1184,5732,15712,3826,19906,14652,3813,17793,8086,2127,9134,5953,1367,7723,0,0,0
13,Kerala,5188,487,5903,6337,728,7035,6333,765,7364,6419,689,7458,5011,522,5736,3725,506,3874,3269,352,3726,19397,2097,21791,12409,1282,14160,4045,535,4158,3569,373,3999,0,0,0
14,Madhya Pradesh,8840,1349,9007,9883,1633,10362,10979,1835,12129,8823,1605,9196,6616,1015,6818,4854,667,4568,3477,465,3255,26749,4792,28238,17749,3265,18949,7084,1198,8152,2390,391,2534,0,0,0
15,Maharashtra,7253,1483,4834,9747,1723,6321,11976,2375,7933,12501,2683,8589,9251,1923,6756,6080,1423,3770,4819,1193,2252,14381,4633,13088,15414,5088,14056,6555,2000,5657,3528,1214,3083,0,0,0
16,Manipur,81,8,124,146,25,266,144,31,282,142,50,289,110,21,164,71,15,104,49,18,66,84,11,148,205,30,378,146,25,249,78,10,141,25,5,39
17,Meghalaya,0,0,0,10,3,7,20,7,13,24,5,18,26,6,19,28,4,21,434,116,233,10,7,2,9,4,5,38,11,17,563,128,330,0,0,0
18,Mizoram,2,1,0,17,10,28,26,21,78,41,33,70,29,26,40,14,11,11,3,1,7,22,23,29,29,25,26,28,17,10,4,5,3,0,0,0
19,Nagaland,67,20,60,45,12,30,48,15,31,48,7,38,36,5,29,27,5,10,34,17,32,8,2,11,49,29,75,12,9,26,1,1,3,5,5,5
20,Orissa,1117,435,1420,1629,656,1915,1738,751,2023,1589,666,1814,1383,571,1503,1106,419,1259,1086,433,1153,4327,1731,4498,3339,1417,3519,1791,792,1945,1075,523,1350,0,0,0
21,Punjab,494,365,398,687,516,474,933,683,584,1054,757,696,955,694,514,891,666,529,1377,940,932,2301,1605,1325,2044,1530,1232,1130,811,786,677,452,566,800,679,442
22,Rajasthan,3209,1406,3668,4124,1712,4509,5357,2263,5850,4705,2055,5393,3541,1398,3981,2140,797,2394,1552,658,1658,10934,4964,11508,8179,3730,8489,2920,1296,3023,1009,458,1062,24,17,21
23,Sikkim,0,0,0,35,13,49,49,10,74,69,19,167,34,14,45,16,3,17,0,0,0,46,21,96,106,43,120,42,12,35,0,0,0,16,9,12
24,Tamil Nadu,10343,2679,12191,13543,3367,15753,13537,2948,17358,9605,2349,11357,6906,1705,8410,5369,1119,8287,7947,1023,4369,29043,6876,34729,22994,5684,26200,11306,2558,12441,5955,1413,6848,2133,687,1945
25,Telangana,1869,624,2101,2431,953,2407,3067,1042,3308,3081,1176,3298,2145,686,2596,2011,602,2419,5474,1823,5507,10804,3123,11541,9011,3062,9727,2105,731,2070,891,303,879,0,0,0
26,Tripura,89,25,149,137,32,201,184,46,358,132,48,233,107,24,184,48,9,70,19,4,30,293,84,463,173,56,260,60,21,90,15,5,26,16,7,14
27,Uttarakhand,116,107,236,194,102,214,302,176,326,278,165,288,251,167,262,143,87,115,126,74,90,279,139,348,634,402,610,300,178,320,378,243,457,0,0,0
28,Uttar Pradesh,5674,2977,3854,5108,2739,3832,4852,2553,3650,3791,1986,2949,3698,1854,2639,3781,1989,2587,4130,2189,2826,12003,5855,7845,10141,5282,6878,7615,3846,5238,5853,4337,5135,0,0,0
29,West Bengal,1634,655,1425,1410,590,1627,1427,595,1546,2129,926,1748,1688,859,1642,1705,880,1492,2882,1370,2538,5234,2556,4154,4233,2140,3654,2174,988,2190,1939,860,1861,0,0,0
30,A & N Islands,20,1,15,27,2,36,49,4,84,39,3,50,30,3,31,34,3,54,19,7,13,106,6,130,68,2,89,43,5,69,21,4,35,0,0,0
31,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,D & N Haveli,0,0,0,20,18,8,17,7,36,22,11,17,9,6,7,10,8,16,9,9,12,27,19,66,21,14,33,10,9,16,2,2,4,10,2,11
33,Daman & Diu,0,0,0,5,0,11,14,6,24,6,4,2,8,4,7,5,1,4,1,0,1,23,10,51,13,5,19,15,7,12,2,0,9,18,16,11
34,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307,273,1255,1291,281,1205,805,176,780,569,114,620,3403,747,3294
35,Lakshadweep,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,Puducherry,34,2,49,291,32,304,259,26,279,92,25,111,88,13,114,66,9,77,281,44,389,664,96,649,616,82,488,371,56,542,115,10,107,0,0,0
Total,Total,62567,17468,63854,79728,22128,80404,86956,24494,93140,79380,23185,82094,63888,18434,65092,49833,14488,49615,58056,17672,50657,194198,56329,203042,157370,49536,160642,74149,23775,72982,45358,17073,47391,10598,3921,10238
